TransactionId,UserId,VisitYear,VisitMonth,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,VisitModeID,VisitMode,CityName,Country,Region,Continent,VisitDate,RatingCategory,VisitYearMonth
12564,45201,2015,10,640,4,4,15,109,3687,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,Australia,Australia,Australia & Oceania,2015-10-01,High,2015-10
12565,18618,2015,11,640,5,2,8,48,335,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Canada,Northern America,America,2015-11-01,High,2015-11
12566,76302,2015,11,640,5,2,8,48,455,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Canada,Northern America,America,2015-11-01,High,2015-11
12567,56107,2015,10,640,4,4,15,109,5237,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2015-10-01,High,2015-10
12568,73284,2015,11,640,5,2,8,51,2144,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United States,Northern America,America,2015-11-01,High,2015-11
12569,71676,2015,10,640,4,3,13,93,2905,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,India,South Asia,Asia,2015-10-01,High,2015-10
12570,73963,2015,11,640,4,4,15,109,3687,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Australia,Australia,Australia & Oceania,2015-11-01,High,2015-11
12573,49576,2015,10,640,5,5,17,135,6275,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Switzerland,Central Europe,Europe,2015-10-01,High,2015-10
12574,67638,2015,9,640,5,5,17,125,5957,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Germany,Central Europe,Europe,2015-09-01,High,2015-09
12576,52127,2015,8,640,3,2,8,51,2123,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United States,Northern America,America,2015-08-01,Average,2015-08
12577,79590,2015,11,640,4,2,8,51,1115,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United States,Northern America,America,2015-11-01,High,2015-11
12578,39218,2015,11,640,4,5,17,121,5703,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Austria,Central Europe,Europe,2015-11-01,High,2015-11
12579,25750,2015,10,640,5,3,11,69,2266,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,China,East Asia,Asia,2015-10-01,High,2015-10
12580,42139,2015,11,640,3,1,4,22,136,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,South Africa,Southern Africa,Africa,2015-11-01,Average,2015-11
12581,25156,2015,11,640,4,5,21,163,2118,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United Kingdom,Western Europe,Europe,2015-11-01,High,2015-11
12583,34064,2015,9,640,4,5,21,163,8219,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2015-09-01,High,2015-09
12584,728,2015,7,640,4,5,21,163,8166,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United Kingdom,Western Europe,Europe,2015-07-01,High,2015-07
12585,37632,2015,11,640,4,5,21,163,1743,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2015-11-01,High,2015-11
12588,35249,2015,10,640,4,5,21,163,781,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,United Kingdom,Western Europe,Europe,2015-10-01,High,2015-10
12589,13300,2015,9,640,4,3,12,87,2569,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Saudi Arabia,Middle East,Asia,2015-09-01,High,2015-09
12590,81638,2015,9,640,3,4,16,115,5639,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,1,Business,Douala,New Zealand,Oceania,Australia & Oceania,2015-09-01,Average,2015-09
12591,69105,2014,12,640,4,3,14,101,3013,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Indonesia,South East Asia,Asia,2014-12-01,High,2014-12
12594,63638,2015,10,640,5,5,21,163,426,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,United Kingdom,Western Europe,Europe,2015-10-01,High,2015-10
12596,65686,2015,11,640,5,5,17,130,6117,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Poland,Central Europe,Europe,2015-11-01,High,2015-11
12599,74941,2015,10,640,3,4,16,115,5488,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,New Zealand,Oceania,Australia & Oceania,2015-10-01,Average,2015-10
12600,9762,2015,6,640,5,5,21,163,8005,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United Kingdom,Western Europe,Europe,2015-06-01,High,2015-06
12601,78690,2015,11,640,5,5,21,159,7467,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,France,Western Europe,Europe,2015-11-01,High,2015-11
12602,19116,2015,11,640,4,4,15,109,3717,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Australia,Australia,Australia & Oceania,2015-11-01,High,2015-11
12604,56938,2015,11,640,5,5,19,141,6416,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Denmark,Northern Europe,Europe,2015-11-01,High,2015-11
12605,45683,2015,1,640,2,3,14,106,3551,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Singapore,South East Asia,Asia,2015-01-01,Low,2015-01
12606,67864,2014,12,640,4,2,8,48,545,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Canada,Northern America,America,2014-12-01,High,2014-12
12607,75664,2015,9,640,5,4,15,109,1434,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Australia,Australia,Australia & Oceania,2015-09-01,High,2015-09
12608,75537,2015,9,640,5,5,21,163,8513,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United Kingdom,Western Europe,Europe,2015-09-01,High,2015-09
12609,85142,2015,7,640,4,2,8,51,1727,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,United States,Northern America,America,2015-07-01,High,2015-07
12612,63114,2015,10,640,4,2,8,51,1473,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,United States,Northern America,America,2015-10-01,High,2015-10
12613,86985,2015,11,640,4,3,14,106,3551,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,Singapore,South East Asia,Asia,2015-11-01,High,2015-11
12614,9171,2015,11,640,4,3,14,101,3285,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,5,Solo,Douala,Indonesia,South East Asia,Asia,2015-11-01,High,2015-11
12615,44099,2014,12,640,2,3,11,69,2275,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,China,East Asia,Asia,2014-12-01,Low,2014-12
12616,24950,2015,10,640,4,3,12,81,2538,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,2,Couples,Douala,Kuwait,Middle East,Asia,2015-10-01,High,2015-10
12617,87000,2015,10,640,5,2,8,51,2010,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,3,Family,Douala,United States,Northern America,America,2015-10-01,High,2015-10
12618,129,2015,10,640,4,2,8,51,950,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Nature & Wildlife Areas,4,Friends,Douala,United States,Northern America,America,2015-10-01,High,2015-10
